platform,classid,classname,finishnum,studynum,school,schoolshort
www.icourse163.org,500004,《说文解字》与上古社会,,83751,武汉大学,WHU
www.icourse163.org,1001742001,国际金融学,,64784,湖南大学,HNU
www.icourse163.org,44006,大学物理3：电磁学,,65019,同济大学,TONGJI
www.icourse163.org,1001785006,微积分（二）,,26646,电子科技大学,UESTC
www.icourse163.org,1001894005,程序设计与算法（二）算法基础,,79518,北京大学,PKU
www.icourse163.org,1001514005,《论语》的智慧,,98347,西安交通大学,XJTU
www.icourse163.org,1001907004,数据结构,,27615,华中科技大学,HUST
www.icourse163.org,452010,系统神经科学,,10841,台湾新竹“清华大学”,NTHU
www.icourse163.org,1001773008,软件测试,,20752,南京大学,NJU
www.icourse163.org,1001964022,中国传世名画鉴赏,,10817,北京师范大学,BNU
www.icourse163.org,1002123007,编译原理,,21044,哈尔滨工业大学,HIT
www.icourse163.org,1001516002,数据库系统（上）：模型与语言,,78912,哈尔滨工业大学,HIT
www.icourse163.org,1001625001,计算机系统基础(一)：程序的表示、转换与链接,,50237,南京大学,NJU
www.icourse163.org,1002480002,唐诗艺术,,41858,武汉大学,WHU
www.icourse163.org,17002,大学物理-电磁学,,16369,国防科技大学,NUDT
www.icourse163.org,298002,数据结构,,49175,西北大学,NWU
www.icourse163.org,126003,模拟电子技术基础,,90732,河北师范大学,HEBTU
www.icourse163.org,1002332006,大学英语进阶课程,,37868,厦门大学,XMU
www.icourse163.org,1002249006,微摄影之“社交摄影”基础,,31250,上海工程技术大学,sues
www.icourse163.org,191001,药理学,,74596,山东大学,SDU
www.icourse163.org,1002601006,强歌声乐课堂,,10598,中国音乐学院,CCM
www.icourse163.org,1001774009,走进性科学,,16662,福建师范大学,FJNU
www.icourse163.org,1002029023,营养与健康讲座,,11688,福建农林大学,FAFU
www.icourse163.org,1002415003,如何进行英语教学评价,,10503,爱课程,icourse
www.icourse163.org,254001,数字电子技术基础,,54450,哈尔滨工业大学,HIT
www.icourse163.org,1002603028,投资与理财,,11808,浙江工商大学,HZIC
www.icourse163.org,1001931009,会计学原理,,39172,福州大学,FZU
www.icourse163.org,1002526012,基础会计学,,11740,西南交通大学,SWJTU
www.icourse163.org,1002355003,学术规范与论文写作,,34358,电子科技大学,UESTC
www.icourse163.org,496001,孙子兵法与企业经营,,41459,台湾新竹“交通大学”,NCTU
www.icourse163.org,19001,管理概论,,201741,浙江大学,ZJU
www.icourse163.org,1002531023,国际名酒知识与品鉴,,11683,暨南大学,JNU
www.icourse163.org,1001951004,高等代数（上）,,11669,厦门大学,XMU
www.icourse163.org,51002,大学物理-相对论,,26734,国防科技大学,NUDT
www.icourse163.org,1002331009,会计学原理,,34821,江西财经大学,JXUFE
www.icourse163.org,1002608025,C语言程序设计,,11597,西安理工大学,XAUT
www.icourse163.org,21014,马克思主义哲学原理精粹九讲,,100328,武汉大学,WHU
www.icourse163.org,1002057028,大学计算机CAP,,11555,西安交通大学,XJTU
www.icourse163.org,1002011001,孙子兵法的智慧应用,,18812,哈尔滨工程大学,HRBEU
www.icourse163.org,1001949007,模拟电子技术,,52195,北京交通大学,NJTU
www.icourse163.org,1001511011,数据库技术及应用,,64625,东北师范大学,NENU
www.icourse163.org,1001752361,线性代数,,16019,东南大学,SEU
www.icourse163.org,1001758008,工程流体力学,,20070,北京理工大学,BIT
www.icourse163.org,1002350001,图形创意,,11387,同济大学,TONGJI
www.icourse163.org,35001,高等数学（四）,,102827,国防科技大学,NUDT
www.icourse163.org,400003,线性代数解题技巧及典型题解析,,86150,山东大学,SDU
www.icourse163.org,1001776003,孙子兵法鉴赏,,58657,福州大学,FZU
www.icourse163.org,1002246009,中国历代服饰赏析,,38866,上海工程技术大学,sues
www.icourse163.org,1002141008,走进心理学,,28366,西南交通大学,SWJTU
www.icourse163.org,1002598055,学设计 做产品,,11228,湖南大学,HNU
www.icourse163.org,1001967009,思维导图的教学应用,,38096,爱课程,icourse
www.icourse163.org,1002474002,诸子的智慧,,46571,南开大学,NANKAI
www.icourse163.org,1002011005,交响音乐名著赏析,,18963,电子科技大学,UESTC
www.icourse163.org,486001,宇宙新概念,,49418,武汉大学,WHU
www.icourse163.org,46011,细胞生物学,,87308,四川大学,SCU
www.icourse163.org,21001,中国近现代史纲要,,134419,浙江大学,ZJU
www.icourse163.org,47004,大学计算机,,253332,北京理工大学,BIT
www.icourse163.org,1002140001,互联网是如何工作的？,,11048,哈索 普拉特纳研究院,HPIDE
www.icourse163.org,23002,方言与中国文化,,124717,武汉大学,WHU
www.icourse163.org,1001555013,微课设计与制作,,72059,爱课程,icourse
www.icourse163.org,1001615010,概率论与数理统计CAP,,99843,浙江大学,ZJU
www.icourse163.org,1001635001,数学分析（三）,,27862,华东师范大学,ECNU
www.icourse163.org,1001772013,脑洞大开背后的创新思维,,33200,大连理工大学,DLUT
www.icourse163.org,1002203005,急您所脊——呵护我们的脊柱,,10891,四川大学,SCU
www.icourse163.org,1002332010,数字图像处理,,10493,武汉大学,WHU
www.icourse163.org,1002586001,中国少数民族神话赏析,,10479,中央民族大学,MUC
www.icourse163.org,1001516003,理论力学,,59682,哈尔滨工业大学,HIT
www.icourse163.org,1001529002,经济数学—线性代数,,36486,武汉理工大学,WHUT
www.icourse163.org,1002608020,经济学导论,,10446,对外经济贸易大学,UIBE
www.icourse163.org,1001948002,C语言程序设计,,44337,大连理工大学,DLUT
www.icourse163.org,1001722003,外国文学史（二）,,35612,浙江工商大学,HZIC
www.icourse163.org,1002530017,离散数学,,10381,北京交通大学,NJTU
www.icourse163.org,1001807015,模拟电子技术基础,,40945,西安交通大学,XJTU
www.icourse163.org,1002084006,文学经典导读,,24169,华中师范大学,CCNU
www.icourse163.org,1001555021,科技与考古,,22769,武汉大学,WHU
www.icourse163.org,46019,中国哲学经典著作导读,,159734,西安交通大学,XJTU
www.icourse163.org,483006,信号与系统,,52668,西安电子科技大学,XIDIAN
www.icourse163.org,1001614003,程序设计基础CAP,,45268,哈尔滨工业大学,HIT
www.icourse163.org,1001978007,组织学与胚胎学,,18362,中国医科大学,CMU
www.icourse163.org,1002535003,质性研究方法,,10060,北京大学,PKU
www.icourse163.org,1001616011,高等数学典型例题与解法（一）,,45064,国防科技大学,NUDT
www.icourse163.org,1002339010,实用绳结技术,,10043,大连海事大学,DLMU
www.icourse163.org,1002331010,英汉互译方法与技巧,,67928,南京大学,NJU
www.icourse163.org,1001639008,网络技术与应用,,64597,南京邮电大学,NJUPT
www.icourse163.org,1001637008,数学文化十讲CAP,,22453,南开大学,NANKAI
www.icourse163.org,432001,C++语言程序设计（下）——从C到C++,,49827,中国农业大学,CAU
www.icourse163.org,1002578003,政治学概论,,9435,北京大学,PKU
www.icourse163.org,1001774006,程序设计基础（C&C++）,,54079,电子科技大学,UESTC
www.icourse163.org,96002,大学物理-力学和热学,,41124,山东大学,SDU
www.icourse163.org,1001672008,英美诗歌名篇选读,,54756,北京联合大学,BUU
www.icourse163.org,1001808011,IT行业职场英语,,52619,大连理工大学,DLUT
www.icourse163.org,21002,新媒体概论,,136897,浙江大学,ZJU
www.icourse163.org,1001530001,经济数学—微积分（二）,,9382,武汉理工大学,WHUT
www.icourse163.org,47019,药用植物学,,86391,四川大学,SCU
www.icourse163.org,1001983008,复变函数与积分变换,,35906,华中科技大学,HUST
www.icourse163.org,437006,计算机专业导论,,84499,哈尔滨工业大学,HIT
